case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
PENGUUSDT-SHORT-EXH-1774087200000,2026-03-21,PENGUUSDT,SHORT,short_exhaustion_retest,PENGUUSDT-SHORT-EXH-1774087200000,,1774087200000,1774088169368,0,0,0,1774102569368,2026-03-21 17:00:00,2026-03-21 17:16:09,,,,2026-03-21 21:16:09,0.007059,0.00707,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PENGUUSDT-SHORT-EXH-1774087200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
GALAUSDT-SHORT-EXH-1774087200000,2026-03-21,GALAUSDT,SHORT,short_exhaustion_retest,GALAUSDT-SHORT-EXH-1774087200000,,1774087200000,1774088177648,0,0,0,1774102577648,2026-03-21 17:00:00,2026-03-21 17:16:17,,,,2026-03-21 21:16:17,0.00332,0.00333,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/GALAUSDT-SHORT-EXH-1774087200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
APTUSDT-SHORT-EXH-1774088100000,2026-03-21,APTUSDT,SHORT,short_exhaustion_retest,APTUSDT-SHORT-EXH-1774088100000,,1774088100000,1774089129562,0,0,0,1774103529562,2026-03-21 17:15:00,2026-03-21 17:32:09,,,,2026-03-21 21:32:09,0.9936,1.0026,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/APTUSDT-SHORT-EXH-1774088100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
RIVERUSDT-LONG-1774089000000,2026-03-21,RIVERUSDT,LONG,long_breakout_retest,RIVERUSDT-LONG-1774089000000,,1774089000000,1774089430244,0,0,0,1774103830244,2026-03-21 17:30:00,2026-03-21 17:37:10,,,,2026-03-21 21:37:10,25.303,25.17,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/RIVERUSDT-LONG-1774089000000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PIPPINUSDT-LONG-1774092600000,2026-03-21,PIPPINUSDT,LONG,long_breakout_retest,PIPPINUSDT-LONG-1774092600000,,1774092600000,1774093109313,0,0,0,1774107509313,2026-03-21 18:30:00,2026-03-21 18:38:29,,,,2026-03-21 22:38:29,0.09678,0.09539,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PIPPINUSDT-LONG-1774092600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FARTCOINUSDT-SHORT-EXH-1774092600000,2026-03-21,FARTCOINUSDT,SHORT,short_exhaustion_retest,FARTCOINUSDT-SHORT-EXH-1774092600000,,1774092600000,1774093599904,0,0,0,1774107999904,2026-03-21 18:30:00,2026-03-21 18:46:39,,,,2026-03-21 22:46:39,0.1962,0.1966,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/FARTCOINUSDT-SHORT-EXH-1774092600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
GUNUSDT-LONG-1774094100000,2026-03-21,GUNUSDT,LONG,long_breakout_retest,GUNUSDT-LONG-1774094100000,,1774094100000,1774094570718,0,0,0,1774108970718,2026-03-21 18:55:00,2026-03-21 19:02:50,,,,2026-03-21 23:02:50,0.02101,0.02095,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/GUNUSDT-LONG-1774094100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
NEARUSDT-SHORT-EXH-1774097100000,2026-03-21,NEARUSDT,SHORT,short_exhaustion_retest,NEARUSDT-SHORT-EXH-1774097100000,,1774097100000,1774098032515,0,0,0,1774112432515,2026-03-21 19:45:00,2026-03-21 20:00:32,,,,2026-03-22 00:00:32,1.305,1.308,,,,,INVALIDATED,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/NEARUSDT-SHORT-EXH-1774097100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BARDUSDT-SHORT-EXH-1774097100000,2026-03-21,BARDUSDT,SHORT,short_exhaustion_retest,BARDUSDT-SHORT-EXH-1774097100000,,1774097100000,1774098050548,0,0,0,1774112450548,2026-03-21 19:45:00,2026-03-21 20:00:50,,,,2026-03-22 00:00:50,0.5198,0.5211,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/BARDUSDT-SHORT-EXH-1774097100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
GUNUSDT-SHORT-EXH-1774098900000,2026-03-21,GUNUSDT,SHORT,short_exhaustion_retest,GUNUSDT-SHORT-EXH-1774098900000,,1774098900000,1774099951057,0,0,0,1774114351057,2026-03-21 20:15:00,2026-03-21 20:32:31,,,,2026-03-22 00:32:31,0.02019,0.02031,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/GUNUSDT-SHORT-EXH-1774098900000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
AKTUSDT-LONG-1774101900000,2026-03-21,AKTUSDT,LONG,long_breakout_retest,AKTUSDT-LONG-1774101900000,,1774101900000,1774102483694,0,0,0,1774116883694,2026-03-21 21:05:00,2026-03-21 21:14:43,,,,2026-03-22 01:14:43,0.6221,0.619,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/AKTUSDT-LONG-1774101900000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PHAUSDT-LONG-1774102500000,2026-03-21,PHAUSDT,LONG,long_breakout_retest,PHAUSDT-LONG-1774102500000,,1774102500000,1774102945717,0,0,0,1774117345717,2026-03-21 21:15:00,2026-03-21 21:22:25,,,,2026-03-22 01:22:25,0.04079,0.04043,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PHAUSDT-LONG-1774102500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FILUSDT-LONG-1774103400000,2026-03-21,FILUSDT,LONG,long_breakout_retest,FILUSDT-LONG-1774103400000,,1774103400000,1774103896510,0,0,0,1774118296510,2026-03-21 21:30:00,2026-03-21 21:38:16,,,,2026-03-22 01:38:16,0.932,0.927,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/FILUSDT-LONG-1774103400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
POWERUSDT-LONG-1774103400000,2026-03-21,POWERUSDT,LONG,long_breakout_retest,POWERUSDT-LONG-1774103400000,,1774103400000,1774103921211,0,0,0,1774118321211,2026-03-21 21:30:00,2026-03-21 21:38:41,,,,2026-03-22 01:38:41,0.10893,0.10851,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/POWERUSDT-LONG-1774103400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ATHUSDT-LONG-1774103700000,2026-03-21,ATHUSDT,LONG,long_breakout_retest,ATHUSDT-LONG-1774103700000,,1774103700000,1774104061184,0,0,0,1774118461184,2026-03-21 21:35:00,2026-03-21 21:41:01,,,,2026-03-22 01:41:01,0.008202,0.008168,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/ATHUSDT-LONG-1774103700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
