snapshot_ts_ms,stage,symbol,side,strategy,signal_id,pending_id,setup_id,outcome,image_path,context_interval,entry_interval,breakout_level,entry_ref,stop,tp1,tp2,note,image_available
1773830831024,pending,AAVEUSDT,SHORT,short_exhaustion_retest,,AAVEUSDT-SHORT-EXH-1773829800000,AAVEUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/AAVEUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,120.09,,,,,1h exhaustion 35/35 + 15m breakdown 29/30 -> retest fail pending,
1773830832884,pending,HYPERUSDT,SHORT,short_exhaustion_retest,,HYPERUSDT-SHORT-EXH-1773829800000,HYPERUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/HYPERUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.0986,,,,,1h exhaustion 31/35 + 15m breakdown 28/30 -> retest fail pending,
1773830841260,pending,ARBUSDT,SHORT,short_exhaustion_retest,,ARBUSDT-SHORT-EXH-1773829800000,ARBUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/ARBUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.1073,,,,,1h exhaustion 35/35 + 15m breakdown 28/30 -> retest fail pending,
1773830842984,pending,DASHUSDT,SHORT,short_exhaustion_retest,,DASHUSDT-SHORT-EXH-1773829800000,DASHUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/DASHUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,35.09,,,,,1h exhaustion 27/35 + 15m breakdown 30/30 -> retest fail pending,
1773830844774,pending,XLMUSDT,SHORT,short_exhaustion_retest,,XLMUSDT-SHORT-EXH-1773829800000,XLMUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/XLMUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.17425,,,,,1h exhaustion 33/35 + 15m breakdown 27/30 -> retest fail pending,
1773830849289,pending,WUSDT,SHORT,short_exhaustion_retest,,WUSDT-SHORT-EXH-1773829800000,WUSDT-SHORT-EXH-1773829800000,,review_snapshots/20260318/WUSDT_SHORT_short_exhaustion_retest_pending_1773829800000.png,1h,15m,0.01855,,,,,1h exhaustion 25/35 + 15m breakdown 25/30 -> retest fail pending,
1773831618397,confirmed,XRPUSDT,SHORT,short_exhaustion_retest,XRPUSDT-SHORT-1773829800000-1,,XRPUSDT-SHORT-1773829800000-1,,review_snapshots/20260318/XRPUSDT_SHORT_short_exhaustion_retest_confirmed_1773829800000.png,1h,15m,1.5138,1.5102,1.555506,1.464894,1.4195879999999998,1h exhaustion 35/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,
1773832599434,pending,NIGHTUSDT,SHORT,short_exhaustion_retest,,NIGHTUSDT-SHORT-EXH-1773831600000,NIGHTUSDT-SHORT-EXH-1773831600000,,review_snapshots/20260318/NIGHTUSDT_SHORT_short_exhaustion_retest_pending_1773831600000.png,1h,15m,0.04857,,,,,1h exhaustion 27/35 + 15m breakdown 26/30 -> retest fail pending,
1773833514370,confirmed,AAVEUSDT,SHORT,short_exhaustion_retest,AAVEUSDT-SHORT-1773829800000-3,,AAVEUSDT-SHORT-1773829800000-3,,review_snapshots/20260318/AAVEUSDT_SHORT_short_exhaustion_retest_confirmed_1773829800000.png,1h,15m,120.09,118.9,122.46700000000001,115.333,111.76599999999999,1h exhaustion 35/35 + 15m breakdown 29/30 -> retest fail retest fail + 15m retest 35/35,
1773833515554,confirmed,XLMUSDT,SHORT,short_exhaustion_retest,XLMUSDT-SHORT-1773829800000-3,,XLMUSDT-SHORT-1773829800000-3,,review_snapshots/20260318/XLMUSDT_SHORT_short_exhaustion_retest_confirmed_1773829800000.png,1h,15m,0.17425,0.17263,0.17780890000000002,0.1674511,0.16227219999999998,1h exhaustion 33/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,
